user_id,scenario_id,scenario_description,human_decision,ai_utilitarian,ai_deontological,ai_virtue
Yusra,1,An autonomous car must choose between,"Swerve into a wall, killing its single passenger, but saving five pedestrians.","Swerve into a wall, killing its single passenger, but saving five pedestrians.","Stay on course, protecting its passenger, even though it will hit five pedestrians.","Swerve into a wall, killing its single passenger, but saving five pedestrians."
Yusra,2,A hospital AI must allocate a ventilator to two patients,"Treat patients equally and allocate randomly, even though one will likely die.","Give it to the younger, healthier patient with higher survival chances.","Treat patients equally and allocate randomly, even though one will likely die.","Give it to the younger, healthier patient with higher survival chances."
Yusra,3,A company AI sees rejecting candidates from certain regions improves performance,"Reject those candidates to maximize performance, even though it introduces bias.","Reject those candidates to maximize performance, even though it introduces bias.","Treat all candidates equally, even if performance is slightly lower.","Reject those candidates to maximize performance, even though it introduces bias."
Yusra,4,A predictive policing AI flags one neighborhood as high risk,"Spread patrols evenly, even though crime stays higher overall.","Send more patrols, lowering crime but unfairly targeting the community.","Spread patrols evenly, even though crime stays higher overall.","Send more patrols, lowering crime but unfairly targeting the community."
Yusra,5,An AI moderator detects harmful content,"Aggressively remove it, accepting some false removals.","Aggressively remove it, accepting some false removals.","Only remove confirmed cases, respecting rights but allowing more harm.","Aggressively remove it, accepting some false removals."
Yusra,6,A military AI can strike a terrorist leader but risks 2 civilian deaths,"Avoid the strike to protect civilians, even if attacks happen later.","Strike, preventing future attacks but killing civilians.","Avoid the strike to protect civilians, even if attacks happen later.","Strike, preventing future attacks but killing civilians."
Yusra,7,An AI teacher grades faster than humans but sometimes unfairly,"Use the AI for speed, accepting unfair grades.","Use the AI for speed, accepting unfair grades.","Use humans for accuracy, even if grading is slow.","Use the AI for speed, accepting unfair grades."
Yusra,8,A city AI monitors all citizens to prevent crime,"Limit surveillance, keeping privacy but risking more crime.","Allow constant surveillance, reducing crime but losing privacy.","Limit surveillance, keeping privacy but risking more crime.","Allow constant surveillance, reducing crime but losing privacy."
Yusra,9,"AI generates art cheaply, replacing human artists",Use AI art to save money and increase access.,Use AI art to save money and increase access.,Support human artists even if it costs more.,Use AI art to save money and increase access.
Yusra,10,An AI detects deepfakes but might ban harmless creative videos,"Ban only dangerous ones, risking harmful fakes spreading.",Ban widely to stop harmful fakes.,"Ban only dangerous ones, risking harmful fakes spreading.",Ban widely to stop harmful fakes.
Yusra,11,Elderly people use AI robots for companionship,"Provide robots to reduce loneliness, even if relationships are artificial.","Provide robots to reduce loneliness, even if relationships are artificial.","Limit robots, encouraging real human bonds, even if loneliness persists.","Provide robots to reduce loneliness, even if relationships are artificial."
Yusra,12,You see your friend cheating in an exam,"Report them because cheating is wrong, regardless of the outcome.","Stay silent to protect your friend, even though it’s unfair to others.","Report them because cheating is wrong, regardless of the outcome.","Stay silent to protect your friend, even though it’s unfair to others."
Yusra,13,"Your friend asks if their outfit looks good, but it looks bad",Lie to boost their confidence.,Lie to boost their confidence.,"Tell the truth, even if it hurts them.",Lie to boost their confidence.
Yusra,14,"You see someone stealing food, they look poor and hungry",Report the theft because stealing is wrong.,"Stay silent, since reporting them could worsen their life.",Report the theft because stealing is wrong.,"Stay silent, since reporting them could worsen their life."
Yusra,15,You can recommend someone for a job,Recommend your less-qualified sibling to help your family.,Recommend your less-qualified sibling to help your family.,Recommend the stranger because it’s fair.,Recommend your less-qualified sibling to help your family.
Yusra,16,A friend lent you money but forgot about it,Return the money because it’s the right thing to do.,Keep the money since you need it.,Return the money because it’s the right thing to do.,Keep the money since you need it.
Yusra,17,You are late and see a long queue,Skip ahead to save time.,Skip ahead to save time.,Wait your turn because cutting is unfair.,Skip ahead to save time.
Yusra,18,You find a wallet full of cash with no ID,"Turn it in, even though you’ll never benefit.",Keep the money since no one will know.,"Turn it in, even though you’ll never benefit.",Keep the money since no one will know.
Yusra,19,Your friend confides they cheated on their partner,Stay silent to protect your friend.,Stay silent to protect your friend.,Tell their partner because they deserve the truth.,Stay silent to protect your friend.
Yusra,20,You can slightly exaggerate your skills on a resume,"Tell the truth, even if it lowers your chances.",Exaggerate to increase your chances of getting the job.,"Tell the truth, even if it lowers your chances.",Exaggerate to increase your chances of getting the job.
